year	section	app.num	app.intl	app.dom	app.male	app.female	app.nonbin	app.urm	app.low.inc	app.first.gen	inv.num	inv.intl	inv.dom	inv.male	inv.female	inv.nonbin	inv.urm	inv.low.inc	inv.first.gen	off.num	off.intl	off.dom	off.male	off.female	off.nonbin	off.urm	off.low.inc	off.first.gen	acc.num	acc.intl	acc.dom	acc.male	acc.female	acc.nonbin	acc.urm	acc.low.inc	acc.first.gen
2011	EEB	125	27	99	63	62	NA	11	NA	NA	32	4	28	15	17	NA	4	NA	NA	18	3	15	10	8	NA	2	NA	NA	11	2	9	7	4	NA	1	NA	NA
2011	GCDB	139	91	48	75	62	2	7	NA	NA	51	23	28	23	28	NA	7	NA	NA	37	17	20	18	19	NA	4	NA	NA	13	7	6	7	6	NA	2	NA	NA
2011	Micro	80	39	41	40	39	1	6	NA	NA	24	5	19	10	13	1	4	NA	NA	20	4	16	7	12	1	4	NA	NA	12	2	10	5	6	1	2	NA	NA
2012		139	33	106	68	65	6	11	NA	NA	37	4	33	17	19	1	3	NA	NA	30	4	26	13	16	1	3	NA	NA	14	2	12	5	8	1	3	NA	NA
2012		132	95	37	51	67	14	4	NA	NA	38	19	19	15	21	2	2	NA	NA	20	8	12	6	13	1	2	NA	NA	10	4	6	3	7	NA	2	NA	NA
2012		72	32	40	32	37	3	4	NA	NA	31	6	25	12	18	1	4	NA	NA	18	0	18	7	11	NA	2	NA	NA	9	9	0	6	3	NA	1	NA	NA
2013		94	26	68	53	41	1	6	NA	NA	36	6	30	18	18	NA	5	NA	NA	22	4	18	11	11	NA	4	NA	NA	12	4	8	6	6	NA	2	NA	NA
2013		112	63	49	61	50	1	3	NA	NA	43	19	24	21	22	NA	1	NA	NA	28	11	17	15	13	NA	1	NA	NA	12	5	7	8	4	NA	0	NA	NA
2013		86	33	53	35	51	NA	11	NA	NA	24	2	22	7	17	NA	6	NA	NA	19	2	17	5	14	NA	6	NA	NA	12	2	10	4	8	NA	4	NA	NA
2014		94	26	68	53	41	1	6	NA	NA	36	6	30	18	18	NA	5	NA	NA	22	4	18	11	11	NA	4	NA	NA	12	4	8	6	6	NA	2	NA	NA
2014		112	63	49	61	50	1	3	NA	NA	43	19	24	21	22	NA	1	NA	NA	28	11	17	15	13	NA	1	NA	NA	12	5	7	8	4	NA	0	NA	NA
2014		86	33	53	35	51	NA	11	NA	NA	24	2	22	7	17	NA	6	NA	NA	19	2	17	5	14	NA	6	NA	NA	12	2	10	4	8	NA	4	NA	NA
2015		74	11	63	26	47	1	7	NA	NA	30	2	28	10	20	NA	3	NA	NA	21	1	20	8	13	NA	1	NA	NA	12	1	11	4	8	NA	1	NA	NA
2015		93	54	39	46	46	1	5	NA	NA	39	16	23	17	22	NA	2	NA	NA	17	6	11	6	11	NA	1	NA	NA	6	2	4	5	1	NA	0	NA	NA
2015		74	38	36	39	33	2	7	NA	NA	26	6	20	14	12	NA	3	NA	NA	16	3	13	9	7	NA	1	NA	NA	7	2	5	5	2	NA	0	NA	NA
2016		68	20	48	22	44	2	3	NA	NA	31	4	27	10	20	0	1	NA	NA	20	3	17	5	15	0	1	NA	NA	11	1	10	4	7	0	0	NA	NA
2016		99	66	33	43	54	2	5	NA	NA	50	26	24	19	31	0	4	NA	NA	29	15	14	10	19	0	2	NA	NA	17	11	6	5	12	0	1	NA	NA
2016		77	26	51	38	38	1	11	NA	NA	25	6	19	14	11	0	3	NA	NA	16	4	12	9	7	0	2	NA	NA	6	1	5	2	4	0	0	NA	NA
2017		43	9	34	15	28	0	4	NA	NA	29	24	5	8	21	0	3	NA	NA	16	4	12	6	10	0	0	NA	NA	8	2	6	2	6	0	0	NA	NA
2017		93	53	40	49	41	3	11	NA	NA	35	17	18	18	17	0	6	NA	NA	22	12	10	12	10	0	2	NA	NA	4	4	0	2	2	0	0	NA	NA
2017		81	39	42	41	40	0	9	NA	NA	27	9	18	14	13	0	5	NA	NA	17	5	12	11	6	0	3	NA	NA	8	3	5	4	4	0	0	NA	NA
2018		55	13	42	15	40	NA	4	NA	NA	26	6	20	5	21	0	3	NA	NA	17	5	12	2	15	0	1	NA	NA	6	0	6	1	5	0	1	NA	NA
2018		79	41	38	38	41	NA	4	NA	NA	41	20	21	13	28	0	3	NA	NA	22	6	16	5	17	0	3	NA	NA	13	5	8	4	9	0	2	NA	NA
2018		70	30	40	32	37	1	7	NA	NA	31	8	23	12	19	0	6	NA	NA	15	2	13	5	10	0	2	NA	NA	6	1	5	1	5	0	1	NA	NA
2019		69	18	51	31	38	0	7	7	18	33	6	27	16	17	0	5	3	8	24	4	20	11	13	0	5	2	7	10	1	9	5	5	0	5	2	3
2019		113	67	46	53	60	0	13	23	32	50	22	28	20	30	0	10	10	11	24	7	17	11	13	0	5	4	6	11	3	8	4	7	0	2	1	2
2019		81	34	47	32	48	1	9	13	27	28	6	22	10	18	0	4	5	6	18	2	16	8	10	0	4	3	5	7	1	6	3	4	0	1	2	2
2020		63	13	50	25	38	0	10	15	15	31	6	25	12	19	0	5	5	9	20	2	18	7	13	0	4	2	6	10	0	10	4	6	0	3	1	4
2020		104	61	43	42	62	0	8	41	28	38	18	20	15	23	0	5	17	11	22	10	12	10	12	0	3	9	6	13	7	4	5	8	0	1	6	4
2020		106	60	46	48	58	0	9	39	36	35	9	26	13	22	0	6	9	9	22	5	17	8	14	0	5	7	6	10	3	7	3	7	0	1	3	1
2021		53	8	45	27	26	0	3	15	11	29	6	23	14	15	0	3	9	7	15	3	12	7	8	0	1	5	4	9	2	7	4	5	0	0	3	3
2021		54	32	22	21	33	0	4	15	13	31	14	17	10	21	0	4	8	9	20	7	13	6	14	0	4	5	8	7	4	3	0	7	0	1	4	3
2021		59	24	35	22	37	0	1	18	19	32	8	24	13	19	0	1	6	8	21	4	17	5	16	0	1	4	5	13	2	11	4	9	0	1	4	4
